2.191247088358690753e+00,2.183037810044411664e+00,2.196537817892335820e+00,2.209203382354891332e+00,2.212565219586464238e+00,2.230372587895537606e+00,2.161540316383826710e+00,2.125706584065855331e+00,2.113575789289852569e+00,2.053052737235776082e+00,1.985714021745168756e+00,1.944721971358328805e+00,1.847265372766942804e+00,1.753509485414951774e+00,1.618938801187395526e+00,1.469498630217219937e+00,1.275691229706575225e+00,1.309087567995126156e+00,1.059237775819073857e+00,9.315206572089261838e-01,8.662652066899705350e-01,8.145255201189558480e-01,7.634058138491180978e-01,7.099012990999500339e-01,6.578789430909585123e-01,6.149497863682612531e-01,5.635883174996001443e-01,5.231380364588641418e-01,4.801680053055608077e-01,4.355363441235307609e-01,3.965338907454876161e-01,3.762727863933839068e-01,4.088255908924357529e-01,6.008333958601349556e-01
2.187389197105248595e+00,2.208179573699970533e+00,2.227432392020127327e+00,2.263762395719545406e+00,2.307080830238117386e+00,2.360343704135994702e+00,2.238821813452127607e+00,2.200960888595021814e+00,2.241200937753564659e+00,2.118887498318929197e+00,2.061121964495550962e+00,2.069471406679956438e+00,1.913026440378744253e+00,1.770990586404497913e+00,1.635048767374265744e+00,1.474391741777388853e+00,1.275124793600274531e+00,1.292167274053269477e+00,1.338881246564022298e+00,1.175419506913667922e+00,1.093743283475196337e+00,1.046651403761669430e+00,1.040969773026356737e+00,9.200309442726944953e-01,8.400625282710910691e-01,8.313238770108476450e-01,7.237670122394486150e-01,6.672604802563635307e-01,6.473191119476825461e-01,5.592451931665299858e-01,4.979832135287125539e-01,4.686176809098941964e-01,5.182607744015403917e-01,5.940114139990008146e-01
2.197448044421281832e+00,2.243529919060571309e+00,2.313816386474598197e+00,2.433682620828454102e+00,2.443570433626046423e+00,0.000000000000000000e+00,2.380202891088266881e+00,2.326943484128014550e+00,0.000000000000000000e+00,2.234715856406923606e+00,2.168772604205788657e+00,0.000000000000000000e+00,2.052543919159500962e+00,1.908207562494014242e+00,1.703748729719816168e+00,1.495488656762679058e+00,1.281883789059233614e+00,1.288836262699044388e+00,1.329998531897925940e+00,1.184798053959810638e+00,1.178143136625960263e+00,1.118486722771390163e+00,0.000000000000000000e+00,9.462084564905148820e-01,8.678108924969719640e-01,0.000000000000000000e+00,7.493094900755885579e-01,6.785651849684825043e-01,0.000000000000000000e+00,6.002988830744881987e-01,5.372592011234901266e-01,4.733437976731929564e-01,5.051019483401713028e-01,5.857468968889342209e-01
2.226501444081867565e+00,2.275610560571992735e+00,2.427507037078852736e+00,0.000000000000000000e+00,2.474295458883274179e+00,2.431472577085453946e+00,2.288608740623471416e+00,2.227903381482966072e+00,2.279530524858763396e+00,2.140746938325002624e+00,2.092230890813752353e+00,2.129486393367493680e+00,2.051767376827057454e+00,0.000000000000000000e+00,1.807336646290496285e+00,1.530735934116578267e+00,1.286117680681753361e+00,1.289420014859783636e+00,1.327102619584999532e+00,1.262340380262139128e+00,0.000000000000000000e+00,1.108945290591634825e+00,1.125335624770032350e+00,9.537537807988630822e-01,8.815574770401419791e-01,8.612369101382135739e-01,7.520510404187301656e-01,6.958164315659516319e-01,7.008951312484703600e-01,5.831082251660727467e-01,0.000000000000000000e+00,5.086201699880906757e-01,5.162584336183845268e-01,5.863596636493298986e-01
2.218926927657777881e+00,2.299886259571966463e+00,2.456697642262575698e+00,2.499626201679899573e+00,2.391304868593149280e+00,2.414406345857414760e+00,2.256082097478225634e+00,2.210072611407509324e+00,2.264741275130429443e+00,2.117606162345963217e+00,2.066527389788194391e+00,2.118273559083696522e+00,1.995037020043149312e+00,1.956578257193890336e+00,1.824584757311602079e+00,1.549257324318271012e+00,1.296851983389701646e+00,1.284264056478538363e+00,1.350075638334157002e+00,1.284011833600698038e+00,1.175600351778952835e+00,1.146427873686699073e+00,1.076326960968510660e+00,9.229509328990849193e-01,8.522690311351067693e-01,8.483606436100050718e-01,7.303029501002877844e-01,6.728675038158405952e-01,6.738398675857021347e-01,6.056533417080822712e-01,5.344562079427526147e-01,5.169634615293259294e-01,5.200538056877984650e-01,5.842034262206571293e-01
2.231082909635700773e+00,2.375789520600242621e+00,0.000000000000000000e+00,2.458438786682784816e+00,2.412014841102354090e+00,0.000000000000000000e+00,2.324697423526147499e+00,2.307511663947630520e+00,0.000000000000000000e+00,2.182473766572771812e+00,2.137911116740639716e+00,0.000000000000000000e+00,2.019231885261925541e+00,1.930894390490011769e+00,0.000000000000000000e+00,1.593678826297055151e+00,1.295585776596550165e+00,1.288773309667573086e+00,1.420062389396669733e+00,0.000000000000000000e+00,1.281492230616910533e+00,1.145565439380789696e+00,0.000000000000000000e+00,9.828164956678981934e-01,9.001830850385110772e-01,0.000000000000000000e+00,7.762583233259164883e-01,7.121972695606388903e-01,0.000000000000000000e+00,6.120814770120478476e-01,5.727962386254695781e-01,0.000000000000000000e+00,5.465166072409047837e-01,5.853264484567460846e-01
2.193333023549111083e+00,2.248154547521326041e+00,2.377595699308919563e+00,2.314371329581254688e+00,2.287984815312760212e+00,2.324040661430613497e+00,2.207607448286067253e+00,2.159232752580644288e+00,2.198640966841652666e+00,2.078276734751812960e+00,2.031524074378713518e+00,2.047267737222503659e+00,1.910742935843156243e+00,1.806482349640972984e+00,1.755589205096524497e+00,1.526644376669864522e+00,1.274794099548210546e+00,1.267028030292862928e+00,1.320456608941520615e+00,1.215037435087375384e+00,1.146985769912143738e+00,1.037459726338711974e+00,1.034976970147732933e+00,8.987373823158448793e-01,8.249820480467460193e-01,8.258375693118994443e-01,7.192426221500023420e-01,6.560511018915371473e-01,6.486489125401101452e-01,5.570852795816151337e-01,5.180952257940212302e-01,4.852817228618145906e-01,5.104054005637053137e-01,5.775760074477510608e-01
2.129910704725793469e+00,2.212607874940346608e+00,2.340039369117613788e+00,2.241920866594564021e+00,2.220408751380578138e+00,2.284707864496888785e+00,2.169216423973474139e+00,2.132189374681973337e+00,2.170021761231772484e+00,2.058093953778662222e+00,1.994521228884661213e+00,2.003175263835319520e+00,1.866062268526274215e+00,1.770803630750291680e+00,1.721859500159762968e+00,1.504073961297410778e+00,1.256448640070237488e+00,1.253639973683003062e+00,1.316231529095601704e+00,1.191121610731709746e+00,1.113922402340774331e+00,1.011256476511537050e+00,1.014965274884199520e+00,8.861928678038175633e-01,8.188278746156557597e-01,8.102892872283671277e-01,7.065157431112425446e-01,6.495695567973099882e-01,6.383150646417524721e-01,5.494553783935032243e-01,5.129562119808761533e-01,4.810674198775791166e-01,5.080881215560474340e-01,5.703773791118308401e-01
2.111795255516697445e+00,2.243617810087375819e+00,0.000000000000000000e+00,2.277669480100985577e+00,2.264419849023404652e+00,0.000000000000000000e+00,2.212165054535202735e+00,2.186081915001328646e+00,5.905483372858080321e-05,2.092605917932987669e+00,2.022009508341952255e+00,0.000000000000000000e+00,1.900835292429759349e+00,1.802936391864802701e+00,0.000000000000000000e+00,1.526321189694179514e+00,1.239277137432728049e+00,1.239401673874342524e+00,1.353047071096246334e+00,0.000000000000000000e+00,1.181917043748235585e+00,1.062656252233996401e+00,0.000000000000000000e+00,9.348557763215046279e-01,8.611952289018872664e-01,2.022953124983358227e-05,7.519504536433897490e-01,6.819664371659899249e-01,0.000000000000000000e+00,5.886593862297052615e-01,5.408748848410322996e-01,0.000000000000000000e+00,5.285375131154198547e-01,5.690487163194927200e-01
2.054337302635711460e+00,2.109956609811427519e+00,2.221160439193332170e+00,2.152302058549536934e+00,2.125715797419949649e+00,2.189784304093460143e+00,2.089919993493440042e+00,2.049081344492106105e+00,2.084853756008507197e+00,1.974025286882006958e+00,1.920356495826909038e+00,1.944157521291036028e+00,1.797758364323612135e+00,1.710748110216061324e+00,1.667913594829847357e+00,1.438133114862460982e+00,1.214003965719606448e+00,1.208895867153015669e+00,1.269186375307888470e+00,1.152072564972867363e+00,1.079690642863499139e+00,9.906023805145405259e-01,9.805509088876559476e-01,8.600759773199186942e-01,7.988089990029161314e-01,7.995450583372136766e-01,6.914182264907056119e-01,6.314393157313016314e-01,6.286111064155717187e-01,5.406484458465800058e-01,5.002943853552010989e-01,4.724244966795246303e-01,4.998876111740644390e-01,5.695898496773728059e-01
